Comment,Designator,Footprint,JLCPCB Part #
L7812CD2T-TR,U6,TO-263-2_L10.0-W9.1-P5.08-LS15.2-TL,C13456
1uF,C30,C0603,C6119849
5.1k,"R13,R3,R12",R0603,C23186
100nF,"C2,C6,C19,C17,C8,C18,C10",C0805,C49678
1217754-1,"J7,J9,J8,J6",CONN-TH_1217754-1,C305825
22nF,"C32,C33,C31",C0805,C1710
100uH,"L2,L3,L1",IND-SMD_L13.8-W12.8,C19268674
SMAJ15A_C571368,"TVS3,TVS1",D-FLAT_L4.3-W2.6-LS5.3-RD,C571368
470nF,"C16,C15",C0603,C1623
2541WR-2X08P,"J4,J3,J2",HDR-TH_16P-P2.54-H-M-R2-C8-S2.54,C5383092
100uF,"C9,C5,C7",CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,C22383804
Green,LED2,LED0603-RD,C19171392
CH224D,U1,QFN-20_L3.0-W3.0-P0.40-BL-EP1.7,C3975094
LM2596S-ADJ,"U4,U3,U2",TO-263-5_L10.2-W8.9-P1.70-BR,C347423
BSMD1206-150-16V,PTC3,F1206,C883133
1k,"R9,R7,R8",R0805,C25623
SMD1210P200TF,PTC1,F1210,C20808
470uF,"C4,C23,C22",CAP-SMD_BD6.3-L6.6-W6.6-FD,C46550400
SD05_C502527,TVS2,SOD-323_L1.8-W1.3-LS2.5-FD,C502527
470uF,"C20,C14,C24,C21,C25",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,C2992611
10k,"R1,R5",R0603,C25804
mSMD110-33V,PTC2,F1812,C70119
10uF,C1,C1206,C7432781
1k,"R2,R4,R6",R0603,C21190
USB-C,J1,TYPE-C-SMD_TYPE-C-6P,C456012
470uF 25V,"C3,C11",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,C2983319
L7805ABD2T-TR,U7,TO-263-2_L10.0-W9.2-P5.08-LS15.3-TL-CW,C86206
SS34,"D1,D3,D2",SMA_L4.3-W2.6-LS5.2-RD,C8678
56k,R11,R0603,C705785
CJ7912_C94173,U8,TO-252-3_L6.5-W5.8-P4.58-BL,C94173
Blue,LED3,LED0603-RD,C5382145
Red,LED4,LED0603-RD,C2286
