Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C1206,40.6,-9.05,0.0,top
C10,100nF,C0805,40.46,-62.6025,-90.0,top
C11,470uF 25V,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,68.56,-78.3025,180.0,top
C14,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,20.95,-59.3025,180.0,top
C15,470nF,C0603,36.75,-87.75,-90.0,top
C16,470nF,C0603,49.14,-82.45,-90.0,top
C17,100nF,C0805,33.35,-42.2025,-90.0,top
C18,100nF,C0805,35.87,-76.7425,90.0,top
C19,100nF,C0805,49.24,-86.0425,90.0,top
C2,100nF,C0805,48.004355,-8.429028,180.0,top
C20,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,32.05,-59.4025,-90.0,top
C21,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,27.15,-35.3025,90.0,top
C22,470uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,30.67,-91.6425,180.0,top
C23,470uF,CAP-SMD_BD6.3-L6.6-W6.6-FD,30.5,-73.3425,180.0,top
C24,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,54.14,-75.6,180.0,top
C25,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,56.56,-87.8025,-90.0,top
C3,470uF 25V,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,67.22,-12.5,0.0,top
C30,1uF 16V,C0603,48.6,-12.5,-90.0,top
C31,22nF,C0805,40.86,-28.0025,-90.0,top
C32,22nF,C0805,40.96,-48.7025,-90.0,top
C33,22nF,C0805,40.56,-67.2025,90.0,top
C34,1uF 16V,C0603,48.91,-14.84,0.0,top
C35,100nF 50V,C0805,52.4,-16.5,-90.0,top
C4,470uF 16V,CAP-SMD_BD6.3-L6.6-W6.6-FD,68.56,-54.0525,-90.0,top
C5,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,57.22,-14.5,90.0,top
C6,100nF,C0805,40.8,-19.9,180.0,top
C7,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,42.79,-35.9025,180.0,top
C8,100nF,C0805,43.06,-40.8025,180.0,top
C9,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,43.29,-56.4025,180.0,top
D1,SS34,SMA_L4.3-W2.6-LS5.2-RD,70.66,-34.1025,180.0,top
D2,SS34,SMA_L4.3-W2.6-LS5.2-RD,63.86,-34.1025,0.0,top
D3,SS34,SMA_L4.3-W2.6-LS5.2-RD,60.56,-55.6025,180.0,top
D4,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,51.65,-11.75,0.0,top
J1,USB-C,TYPE-C-SMD_TYPE-C-6P,44.68,-4.475,180.0,top
J10,2541WR-2X08P,HDR-TH_16P-P2.54-H-M-R2-C8-S2.54,5.77,-70.09,-90.0,top
J11,2541WR-2X08P,HDR-TH_16P-P2.54-H-M-R2-C8-S2.54,22.35,-11.745,180.0,top
J2,Pogo pads,PogoPad_1x04_P2.54mm,70.39,-2.485,0.0,top
J3,Pogo pads (debug),PogoPad_1x08_P2.54mm,65.15,-97.2,180.0,top
J6,63951-1,CONN-TH_1217754-1,12.7,-20.85,-90.0,top
J7,63951-1,CONN-TH_1217754-1,12.7,-36.61,-90.0,top
J8,63951-1,CONN-TH_1217754-1,12.7,-44.7,-90.0,top
J9,63951-1,CONN-TH_1217754-1,12.7,-28.95,-90.0,top
L1,100uH,IND-SMD_L13.8-W12.8,67.16,-25.5025,180.0,top
L2,100uH,IND-SMD_L13.8-W12.8,66.96,-42.7025,0.0,top
L3,100uH,IND-SMD_L13.8-W12.8,67.06,-65.3025,0.0,top
LED2,Green,LED0603-RD,19.0,-95.0525,90.0,top
LED3,Blue,LED0603-RD,21.5,-95.0525,90.0,top
LED4,Red,LED0603-RD,24.0,-95.0525,90.0,top
PTC1,SMD1210P200TF,F1210,32.8,-26.6,90.0,top
PTC2,mSMD110-33V,F1812,22.47,-74.7425,180.0,top
PTC3,BSMD1206-150-16V,F1206,47.36,-90.8025,0.0,top
Q1,-30V -4A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,45.5,-18.3,0.0,top
R1,10k,R0603,38.86,-29.5025,90.0,top
R11,100k,R0603,43.05,-16.1,0.0,top
R12,56k,R0603,49.75,-17.2,0.0,top
R13,470,R0603,42.05,-17.8,180.0,top
R14,470ohm,R0603,72.51,-6.08,0.0,top
R15,4.7k,R0603,63.9,-2.785,0.0,top
R16,4.7k,R0603,64.5,-5.385,-90.0,top
R17,5.1k,R0603,55.75,-2.6,0.0,top
R18,5.1k,R0603,52.5,-2.55,180.0,top
R19,0,R0603,35.15,-12.59,-90.0,top
R2,1k,R0603,38.86,-26.2025,-90.0,top
R20,0,R0603,36.81,-10.11,90.0,top
R3,5.1k,R0603,39.06,-50.5025,-90.0,top
R4,1k,R0603,39.06,-46.9025,90.0,top
R5,10k,R0603,38.56,-67.3525,-90.0,top
R6,1k,R0603,38.56,-64.1525,90.0,top
R7,1k,R0805,33.8,-32.8,-90.0,top
R8,1k,R0805,24.75,-71.0,180.0,top
R9,1k,R0805,42.56,-90.9025,180.0,top
TP1,+15V USB-PD,TestPoint_Pad_D1.5mm,59.96,-5.22,0.0,top
TP2,GND,TestPoint_Pad_D1.5mm,74.35,-7.85,180.0,top
TP3,+13.5V,TestPoint_Pad_D1.5mm,74.25,-16.95,0.0,top
TP4,+7.5V,TestPoint_Pad_D1.5mm,73.56,-51.3025,0.0,top
TP5,-13.5V,TestPoint_Pad_D1.5mm,73.56,-84.8025,90.0,top
TP6,VBUS_VS_DISCH,TestPoint_Pad_D1.5mm,74.31032,-19.893851,90.0,top
TVS1,SMAJ15A_C571368,D-FLAT_L4.3-W2.6-LS5.3-RD,32.6,-20.2,90.0,top
TVS2,SD05_C502527,SOD-323_L1.8-W1.3-LS2.5-FD,20.57,-79.1425,90.0,top
